hour,A10,A100-SXM4-80GB,GPU-series-1,H800,GPU-series-2,A800-SXM4-80GB
326,3523.639999999997,2603.5,746.0,1336.0,751.0,89.0
327,3495.9399999999973,2584.5,746.0,1384.0,499.0,97.0
328,3520.639999999997,2558.5,743.0,1312.0,503.0,104.0
329,3510.739999999997,2453.5,742.0,1372.0,509.0,112.0
330,3497.5399999999972,2262.5,743.0,1288.0,504.0,110.0
331,3495.5399999999972,2321.5,742.0,1344.0,494.0,143.0
332,3502.4399999999973,2282.5,744.0,1312.0,628.0,126.0
333,3513.4399999999973,2456.5,742.0,1264.0,647.0,126.0
334,3516.639999999997,2506.5,745.0,1256.0,617.0,118.0
335,3509.4399999999973,2402.5,746.0,1248.0,595.0,110.0
336,3382.6999999999975,1769.5,740.0,512.0,593.0,78.0
337,3401.4999999999977,1801.5,741.0,512.0,594.0,78.0
338,3380.5999999999976,1722.5,741.0,512.0,593.0,77.0
339,3411.399999999998,1703.5,741.0,512.0,593.0,77.0
340,3409.5999999999976,1708.5,739.0,512.0,593.0,93.0
341,3382.4999999999977,1704.5,738.0,512.0,593.0,93.0
342,3303.299999999998,1706.5,740.0,512.0,593.0,93.0
343,3340.4999999999977,1676.5,739.0,512.0,593.0,93.0
344,3303.299999999998,1705.5,739.0,512.0,593.0,93.0
345,3265.699999999998,1732.5,739.0,544.0,593.0,77.0
346,3239.199999999998,2138.5,738.0,608.0,593.0,117.0
347,3296.699999999998,2510.5,741.0,1976.0,817.0,141.0
348,3281.799999999998,2309.5,740.0,576.0,992.0,133.0
349,3291.4999999999977,2319.5,740.0,2040.0,791.0,125.0
350,3295.899999999998,2427.5,743.0,2424.0,811.0,125.0
351,3301.799999999998,2719.5,743.0,1552.0,810.0,125.0
352,3300.599999999998,2619.5,742.0,1824.0,812.0,125.0
353,3307.8999999999983,2561.5,744.0,1584.0,806.0,125.0
354,3315.2999999999984,2483.5,743.0,1480.0,788.0,149.0
355,3314.5499999999984,2483.5,743.0,1480.0,787.0,133.0
356,3324.6999999999985,2447.5,742.0,1464.0,785.0,117.0
357,3324.1999999999985,2487.5,743.0,1464.0,785.0,117.0
358,3331.2999999999984,2551.5,743.0,1544.0,785.0,117.0
359,3328.499999999998,2463.5,742.0,1480.0,785.0,117.0
360,3307.2999999999984,2219.5,737.0,1216.0,331.0,117.0
361,3319.2999999999984,2245.5,738.0,1216.0,331.0,165.0
362,3317.2999999999984,2168.5,738.0,1216.0,331.0,125.0
363,3321.3999999999983,2101.5,739.0,1216.0,331.0,125.0
364,3320.3999999999983,2083.5,739.0,1216.0,331.0,125.0
365,3324.3999999999983,1924.5,739.0,1216.0,330.0,128.0
366,3328.499999999998,1938.5,740.0,1216.0,330.0,126.0
367,3333.599999999998,2009.5,739.0,1216.0,330.0,141.0
368,3334.499999999998,2057.5,740.0,1216.0,330.0,173.0
369,3338.3999999999983,2268.5,739.0,1216.0,330.0,109.0
370,3349.499999999998,2560.5,740.0,1216.0,331.0,85.0
371,3358.3999999999983,2495.5,740.0,1304.0,331.0,85.0
372,3359.3999999999983,2331.5,741.0,1560.0,330.0,85.0
373,3353.499999999998,2385.5,741.0,1520.0,330.0,93.0
374,3350.499999999998,2431.5,740.0,1520.0,330.0,93.0
375,3347.3999999999983,2387.5,741.0,1448.0,331.0,93.0
376,3345.499999999998,2417.5,741.0,1448.0,330.0,93.0
377,3364.3999999999983,2461.5,739.0,1448.0,514.0,93.0
378,3367.599999999998,2306.5,739.0,1448.0,530.0,93.0
379,3362.499999999998,2298.5,741.0,1456.0,571.0,93.0
380,3362.499999999998,2264.5,740.0,1464.0,682.0,93.0
381,3364.599999999998,2296.5,740.0,1456.0,794.0,85.0
382,3361.499999999998,2279.5,740.0,1456.0,666.0,125.0
383,3365.2999999999984,2308.5,740.0,1480.0,794.0,93.0
384,3357.3999999999983,1945.5,740.0,1496.0,977.0,55.0
385,3357.599999999998,1983.5,742.0,1456.0,793.0,55.0
386,3357.599999999998,1895.5,742.0,1456.0,793.0,37.0
387,3361.599999999998,1870.5,742.0,1456.0,793.0,37.0
388,3357.3999999999983,1882.5,741.0,1456.0,793.0,37.0
389,3366.6999999999985,1880.5,741.0,1456.0,793.0,45.0
390,3373.4999999999986,1884.5,741.0,1456.0,793.0,45.0
391,3378.3999999999987,1906.5,742.0,1456.0,793.0,45.0
392,3384.199999999999,1946.5,742.0,1456.0,793.0,45.0
393,3384.499999999999,1941.5,741.0,1456.0,801.0,53.0
394,3386.199999999999,1958.5,741.0,1456.0,801.0,45.0
395,3393.199999999999,1975.5,740.0,1488.0,809.0,45.0
396,3390.199999999999,1984.5,741.0,1457.0,801.0,45.0
397,3400.3999999999987,2010.5,741.0,1451.0,801.0,69.0
398,3398.0999999999985,2044.5,741.0,1457.0,811.0,61.0
399,3395.2999999999984,2097.5,741.0,1456.0,815.0,61.0
400,3404.0999999999985,2079.5,739.0,1456.0,810.0,61.0
401,3410.2999999999984,2095.5,740.0,1464.0,808.0,65.0
402,3414.2999999999984,2102.5,741.0,1464.0,811.0,57.0
403,3410.0999999999985,2148.5,740.0,1608.0,813.0,57.0
404,3411.1999999999985,2147.5,740.0,1656.0,806.0,57.0
405,3414.7999999999984,2192.5,739.0,1544.0,802.0,73.0
406,3417.8999999999983,2155.5,739.0,1496.0,804.0,69.0
407,3414.1999999999985,2321.5,741.0,1464.0,828.0,69.0
408,3376.0999999999985,1756.5,736.0,1448.0,264.0,86.0
409,3368.4999999999986,1703.5,736.0,1448.0,264.0,85.0
410,3376.299999999999,1625.5,735.0,1448.0,264.0,69.0
411,3375.199999999999,1625.5,735.0,1448.0,264.0,69.0
412,3381.3999999999987,1612.5,735.0,1448.0,264.0,69.0
413,3384.299999999999,1610.5,736.0,1448.0,264.0,69.0
414,3392.299999999999,1609.5,736.0,1448.0,264.0,69.0
415,3391.299999999999,1668.5,736.0,1448.0,264.0,69.0
416,3398.3999999999987,1703.5,735.0,1448.0,648.0,69.0
417,3395.299999999999,1744.5,736.0,1504.0,523.0,69.0
418,3402.3999999999987,2210.5,736.0,1488.0,546.0,142.0
419,3406.9999999999986,2457.5,736.0,1640.0,430.0,254.0
420,3413.0999999999985,2445.5,736.0,1776.0,687.0,222.0
421,3411.1999999999985,2345.5,736.0,1576.0,417.0,174.0
422,3402.0999999999985,2392.5,735.0,1568.0,726.0,191.0
423,3410.9999999999986,2508.5,737.0,1608.0,847.0,150.0
424,3411.1999999999985,2812.0,737.0,1584.0,465.0,103.0
425,3412.3999999999983,2906.5,737.0,1612.0,546.0,104.0
426,3416.099999999998,2677.5,740.0,1568.0,435.0,103.0
427,3417.999999999998,2706.5,740.0,1640.0,555.0,118.0
428,3419.099999999998,3100.5,738.0,1832.0,565.0,127.0
429,3421.799999999998,2853.5,738.0,1728.0,428.0,120.0
430,3427.9999999999977,2634.5,741.0,1812.0,542.0,121.0
431,3419.899999999998,2609.5,740.0,1576.0,820.0,119.0
432,3391.0999999999976,1982.5,723.0,1208.0,544.0,77.0
433,3405.0999999999976,1880.5,725.0,1176.0,501.0,77.0
434,3405.0999999999976,1785.5,727.0,1144.0,371.0,77.0
435,3402.899999999998,1799.5,726.0,1496.0,380.0,77.0
436,3410.199999999998,1718.5,726.0,1496.0,371.0,77.0
437,3413.099999999998,1726.5,727.0,1496.0,371.0,77.0
438,3415.799999999998,1736.5,728.0,1496.0,370.0,77.0
439,3414.699999999998,1739.5,728.0,1496.0,370.0,77.0
440,3417.099999999998,1777.5,727.0,1496.0,370.0,77.0
441,3426.099999999998,1809.5,729.0,1616.0,389.0,77.0
442,3427.099999999998,2042.5,736.0,1592.0,663.0,89.0
443,3431.8999999999983,2307.5,759.0,1564.0,671.0,105.0
444,3432.999999999998,2217.5,757.0,1544.0,655.0,113.0
445,3438.999999999998,2282.5,754.0,1520.0,647.0,105.0
446,3435.8999999999983,2457.5,756.0,1568.0,695.0,144.0
447,3437.7999999999984,2529.5,754.0,1640.0,696.0,142.0
448,3439.999999999998,2687.5,756.0,1552.0,676.0,86.0
