hour,jobs_active,gpus_active_requested,capacity_gpus,demand_capacity_ratio
1375,6014.0,8378.050000000023,10412,0.8046532846715351
1376,5999.0,8400.550000000023,10412,0.80681425278525
1377,6013.0,8461.150000000023,10412,0.812634460238189
1378,6018.0,9942.550000000023,10412,0.9549126008451808
1379,6057.0,10836.650000000021,10412,1.0407846715328488
1380,6057.0,9500.150000000021,10412,0.912423165578181
1381,6036.0,9325.95000000002,10412,0.8956924702266635
1382,6009.0,9580.050000000021,10412,0.920097003457551
1383,6009.0,9913.050000000021,10412,0.9520793315405321
1384,6068.0,10253.85000000002,10412,0.9848107952362678
1385,6110.0,10105.25000000002,10412,0.9705388013830215
1386,6104.0,9799.05000000002,10412,0.9411304264310429
1387,6104.0,9544.850000000019,10412,0.9167162888974278
1388,6116.0,9611.450000000019,10412,0.9231127545140241
1389,6129.0,9930.450000000019,10412,0.9537504802151382
1390,6096.0,9970.750000000018,10412,0.9576210142143697
1391,6110.0,10263.350000000019,10412,0.9857232039953917
1392,6032.0,8879.850000000019,10412,0.8528476757587417
1393,6024.0,8847.450000000019,10412,0.8497358816749923
1394,5975.0,8748.65000000002,10412,0.8402468305801017
1395,5953.0,8699.65000000002,10412,0.835540722243567
1396,5938.0,8654.55000000002,10412,0.8312091817134094
1397,5955.0,8637.05000000002,10412,0.8295284287360756
1398,5953.0,8594.850000000019,10412,0.825475412985019
1399,5934.0,8534.650000000018,10412,0.8196936227429906
1400,5943.0,8535.450000000017,10412,0.8197704571648115
1401,5948.0,8584.850000000017,10412,0.8245149827122566
1402,6066.0,9203.950000000017,10412,0.8839752208989644
1403,6105.0,10156.450000000017,10412,0.9754562043795637
1404,6121.0,9814.150000000016,10412,0.9425806761429135
1405,6119.0,9836.450000000015,10412,0.9447224356511732
1406,6190.0,10523.650000000014,10412,1.0107232039953913
1407,6242.0,10833.750000000015,10412,1.040506146753747
1408,6324.0,11195.050000000014,10412,1.0752064925086453
1409,6335.0,10982.350000000013,10412,1.0547781406069932
1410,6323.0,10653.250000000013,10412,1.0231703803303893
1411,6315.0,10984.550000000014,10412,1.0549894352670008
1412,6293.0,10882.950000000013,10412,1.045231463695737
1413,6237.0,10685.050000000014,10412,1.0262245485977732
1414,6275.0,10928.850000000013,10412,1.0496398386477155
1415,6246.0,10617.850000000013,10412,1.0197704571648112
1416,6070.0,9307.550000000012,10412,0.8939252785247802
1417,6067.0,9404.250000000013,10412,0.9032126392623908
1418,6014.0,9647.650000000012,10412,0.9265895121014226
1419,6036.0,9773.650000000012,10412,0.9386909335382263
1420,6010.0,9409.350000000013,10412,0.9037024587014996
1421,6046.0,9462.750000000013,10412,0.9088311563580497
1422,6045.0,9446.650000000012,10412,0.9072848636189025
1423,6034.0,9299.950000000012,10412,0.893195351517481
1424,6030.0,9310.050000000012,10412,0.8941653860929708
1425,6069.0,9439.550000000012,10412,0.9066029581252413
1426,6119.0,10239.250000000013,10412,0.9834085670380343
1427,6186.0,11195.150000000012,10412,1.0752160968113726
1428,6172.0,10359.950000000012,10412,0.9950009604302739
1429,6145.0,10435.750000000011,10412,1.0022810218978113
1430,6159.0,11000.35000000001,10412,1.056506915097965
1431,6173.0,10459.05000000001,10412,1.0045188244333472
1432,6195.0,10562.55000000001,10412,1.0144592777564359
1433,6239.0,10649.05000000001,10412,1.0227669996158288
1434,6237.0,10562.750000000011,10412,1.0144784863618912
1435,6221.0,10596.950000000012,10412,1.017763157894738
1436,6238.0,10669.850000000011,10412,1.0247646945831743
1437,6219.0,10696.350000000011,10412,1.0273098348059941
1438,6320.0,10742.750000000011,10412,1.0317662312716107
1439,6325.0,10870.750000000011,10412,1.0440597387629669
1440,6146.0,9480.850000000011,10412,0.9105695351517491
1441,6172.0,9493.250000000011,10412,0.9117604686899742
1442,6094.0,9328.250000000011,10412,0.8959133691893979
1443,6100.0,9204.950000000012,10412,0.88407126392624
1444,6090.0,9106.850000000011,10412,0.8746494429504429
1445,6092.0,8963.15000000001,10412,0.86084805993085
1446,6084.0,8894.05000000001,10412,0.8542114867460632
1447,6090.0,9130.95000000001,10412,0.8769640799077997
1448,6163.0,9639.75000000001,10412,0.9258307721859401
1449,6245.0,10633.05000000001,10412,1.0212303111794094
1450,6279.0,10169.85000000001,10412,0.9767431809450643
1451,6291.0,10659.45000000001,10412,1.0237658470995015
1452,6290.0,10355.05000000001,10412,0.9945303495966202
1453,6344.0,10375.75000000001,10412,0.9965184402612379
1454,6358.0,10539.55000000001,10412,1.012250288129083
