submit_hour,jobs,gpu_seconds,gpu_demand
3570,38,22620602.0,153.0
3571,39,937213.0,405.0
3572,34,10599531.0,276.0
3573,26,728772.0,52.0
3574,22,1784759.0,40.0
3575,37,471192.0,250.0
3576,43,3342363.0,269.0
3577,20,48363337.0,619.0
3578,24,651660.4,159.3
3579,19,1611031.0,81.0
3580,15,339537.0,22.0
3581,18,302920.0,18.0
3582,39,2590934.7,109.2
3583,38,469097.1,29.9
3584,21,325389.0,41.0
3585,15,3757300.0,99.0
3586,25,9215245.0,132.0
3587,36,17615929.0,316.0
3588,29,16802202.0,177.0
3589,43,1636177.0,410.5
3590,21,3984068.0,54.0
3591,31,5001316.5,137.5
3592,49,8448367.5,313.0
3593,60,25707876.0,780.0
3594,37,5117248.5,264.5
3595,37,710391.5,161.5
3596,52,18892647.7,273.1
3597,41,3484370.8,213.1
3598,49,13902066.3,593.9
3599,37,59201353.5,772.5
3600,45,17928646.1,420.9
3601,28,1784436.5,386.7
3602,24,48563251.0,317.5
3603,19,923607.3,24.6
3604,17,1381510.0,38.0
3605,18,2184851.0,32.0
3606,21,3875811.0,30.0
3607,27,625663.0,27.0
3608,14,39171.0,14.0
3609,33,7397029.0,187.0
3610,97,41981021.1,675.2
3611,106,30345705.0,654.0
3612,78,11397511.9,342.3
3613,92,40087470.5,430.7
3614,117,52438702.8,528.7
3615,151,28707447.3,684.5
3616,114,83218658.0,538.3
3617,107,56452985.3,678.7
3618,71,6637214.0,179.1
3619,98,6834776.4,342.4
3620,100,10286836.8,336.6
3621,88,40029051.3,296.6
3622,80,45593850.2,241.2
3623,84,13314668.3,754.5
3624,77,23498098.5,648.2
3625,66,28319144.0,173.0
3626,57,3434729.5,1692.9
3627,54,8563422.0,830.3
3628,37,5101934.0,1161.5
3629,64,36961091.5,1278.5
3630,37,3328732.0,118.0
3631,43,1790694.5,77.6
3632,49,5252114.0,338.0
3633,56,1484219.0,169.0
3634,122,19672391.7,632.0
3635,108,64765194.0,446.5
3636,82,39263719.4,639.0
3637,61,16629535.6,317.3
3638,112,19723254.7,357.59999999999997
3639,132,19065991.0,714.1
3640,152,44686107.0,563.5
3641,124,30841990.9,1066.9
3642,80,18392451.5,1153.3
3643,102,13031471.5,526.3
3644,139,12246323.2,712.7
3645,103,9614758.4,502.6
3646,74,12994183.8,1006.9
3647,80,5319611.3,1294.6
3648,73,43459111.6,1374.9
3649,57,13464789.0,430.0
3650,45,4645244.9,154.3
3651,31,711519.0,56.0
3652,29,191485.0,70.0
3653,41,543970.0,101.0
3654,34,621501.0,36.0
3655,38,261858.0,41.0
3656,29,326630.0,41.0
3657,63,1228014.7,277.8
3658,115,17291006.0,423.0
3659,152,48379667.2,805.7
3660,66,9226399.6,1007.1
3661,67,21714646.5,1995.5
3662,111,23566764.5,1171.3
3663,93,12090375.8,382.4
3664,123,30507571.2,1054.5
3665,413,10505594.0,1422.5
3666,399,58899459.5,1154.0
3667,145,16181387.7,711.1
3668,188,32307937.0,780.1
3669,170,23607346.9,721.0
3670,69,5370857.0,752.0
3671,33,2930523.0,816.0
3672,95,60175157.0,1083.5
3673,60,32337169.2,961.4
3674,56,23171457.5,245.5
3675,37,8120138.0,242.5
3676,31,14127005.0,295.5
3677,26,3934783.5,99.5
3678,34,6044216.4,195.3
3679,24,6078537.0,300.5
3680,27,3866522.0,159.0
3681,62,6372795.5,307.5
3682,123,19461266.1,601.6
3683,129,68823144.8,2425.0
3684,47,4237730.5,576.3
3685,73,6458074.6,1286.4
3686,136,95154662.8,1958.4
3687,120,43785119.0,1886.0
3688,95,167963022.0,1249.0
3689,115,43097968.5,423.4
3690,76,17286750.0,306.9
3691,92,21430354.8,708.8
3692,103,22396238.4,1376.1
3693,65,9837615.0,1453.0
3694,81,56219532.0,1249.1
3695,50,22674472.9,1151.7
3696,78,37308935.0,303.0
3697,86,132461250.4,825.2
3698,50,35091030.4,738.3
3699,58,16441533.5,280.0
3700,43,3841717.0,118.0
3701,42,3601226.9,153.3
3702,51,20644339.0,171.5
3703,32,1885217.5,32.5
3704,42,1660603.0,168.0
3705,62,10836718.2,373.9
3706,126,64638500.0,890.0
3707,93,35274043.5,1098.5
3708,46,6315887.0,143.0
3709,53,19819983.5,163.0
3710,157,34050609.6,448.2
3711,104,46106676.0,621.5
3712,99,29726893.0,735.0
3713,129,41231951.2,664.5
3714,83,17098261.7,843.9
3715,55,4316743.5,278.9
3716,62,8019450.9,1562.5
3717,69,259043492.8,4571.4
3718,71,16545481.8,492.5
3719,63,11060931.6,115.1
3720,70,12719665.2,285.4
3721,77,38462236.1,657.1
3722,41,6078688.0,323.0
3723,42,5448773.6,40.4
3724,52,4344775.1,50.3
3725,40,358740.9,49.0
3726,56,3608907.2,85.5
3727,54,1959281.4,120.6
3728,48,11473999.3,184.9
3729,47,1676914.9,92.0
3730,55,24909093.3,320.1
3731,61,18996657.3,336.6
3732,55,1880899.2,90.9
3733,70,14437902.2,441.5
3734,82,25997129.2,240.8
3735,65,6770621.300000001,367.8
3736,70,60474100.6,493.3
3737,53,7595304.8,174.1
3738,42,2947237.0,45.5
3739,48,1426252.4,176.4
3740,49,2601951.9,250.5
3741,37,583159.2,102.0
3742,50,8722994.5,128.4
3743,52,6400257.7,212.5
3744,82,50729835.9,765.3
3745,80,25543847.1,383.9
3746,49,60345484.9,124.4
3747,35,9219741.9,77.9
3748,31,5851267.9,54.6
3749,46,7782708.7,144.7
3750,46,13555509.6,72.7
3751,58,6546648.9,272.0
3752,45,7737428.7,249.0
3753,60,10031722.4,902.4
3754,50,8071027.5,683.3
3755,34,1679753.1,641.4
3756,56,31020217.3,1557.3
3757,71,20774504.9,320.0
3758,48,9406433.7,741.1999999999999
3759,64,8294131.1,510.4
3760,50,6271993.5,310.6
3761,41,3340198.4,217.6
3762,63,12777936.1,1013.9
3763,56,7616403.4,307.8
3764,63,4182865.4,605.5
3765,43,12099671.0,1114.4
3766,66,5108781.4,2702.2
3767,52,8571477.3,2031.9
3768,81,174685284.7,1332.5
3769,49,20247498.1,317.4
3770,48,22079430.9,935.4
3771,49,7883212.6,448.2
3772,35,588215.6,109.4
3773,49,4416117.3,269.9
3774,38,9873188.5,137.2
3775,53,4416630.0,503.1
3776,41,24095970.2,678.4
3777,47,3801461.3000000003,330.2
3778,110,35791367.3,848.1999999999999
3779,121,28124148.6,566.4
3780,112,12117483.3,1104.7
3781,65,11014716.5,339.2
3782,99,19059743.5,2024.4
3783,93,13125492.9,310.6
3784,101,4491707.1,366.9
3785,123,17485141.1,729.9
3786,115,14808532.4,1037.9
3787,121,11663472.799999999,690.1
3788,124,24665663.0,495.0
3789,110,32487977.0,1178.1
3790,97,7451729.800000001,1887.0
3791,54,470626.5,123.0
3792,95,22156259.4,1481.0
3793,116,41564127.3,3062.0
3794,89,55656902.300000004,842.6
3795,64,7830102.0,49.1
3796,44,5403547.600000001,473.6
3797,47,1107875.8,68.8
3798,62,5222124.0,295.0
3799,61,841980.4,142.4
3800,54,1746072.7,262.0
3801,98,17270894.5,791.8
3802,128,33832182.2,593.5
3803,137,102796540.9,876.5
3804,98,12822989.9,679.7
3805,117,19799133.6,678.1999999999999
3806,149,23785745.6,804.6
3807,193,84012097.6,1085.9
3808,183,24272487.0,808.0
3809,155,89005059.10000001,649.5
3810,89,4433388.2,368.9
3811,119,18738138.0,544.1
3812,162,118213358.4,618.0
3813,80,9751002.4,219.3
3814,58,6376231.5,247.5
3815,89,22528389.5,448.5
3816,161,10568478.7,252.0
3817,30,4133231.0,126.0
3818,40,13881957.0,313.1
3819,31,2011168.6,99.3
3820,34,1207421.0,61.5
3821,69,1305978.6,79.6
3822,46,8012073.0,213.5
3823,65,576433.5,72.0
3824,29,4667228.0,49.5
3825,58,6258969.2,137.8
3826,244,59324830.2,1093.1
3827,140,89429685.5,498.9
3828,76,4037729.4,242.7
3829,67,19570491.8,219.0
3830,144,49784451.0,697.4
3831,127,16014185.700000001,526.1
3832,115,4099669.0,513.6
3833,160,27787397.7,1163.8
3834,91,24319088.8,1090.3
3835,102,15007583.0,1310.0
3836,171,30077181.2,619.3
3837,73,3539927.0,372.5
3838,70,9617380.0,1369.5
3839,78,20687037.599999998,923.0
3840,71,7264833.0,1165.0
3841,44,29902803.5,1422.5
3842,43,1824312.0,1000.0
3843,86,56645052.5,895.0
3844,76,4733898.0,243.3
3845,33,2278432.5,97.8
